Query,COG Category,GO terms
#query,COG_category,GOs
fig|195.2024.peg.234,M,"GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006487,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0016740,GO:0016757,GO:0016758,GO:0018193,GO:0018196,GO:0018279,GO:0019538,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0046527,GO:0070085,GO:0071704,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576"
fig|195.2024.peg.1326,-,-
fig|195.2024.peg.514,Q,-
fig|195.2024.peg.1234,L,-
fig|195.2024.peg.1661,K,-
fig|195.2024.peg.305,E,-
fig|195.2024.peg.1579,H,-
fig|195.2024.peg.919,P,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0006950,GO:0007154,GO:0008150,GO:0008152,GO:0009605,GO:0009987,GO:0009991,GO:0031668,GO:0033554,GO:0034641,GO:0042262,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0090304,GO:1901360"
fig|195.2024.peg.802,S,-
fig|195.2024.peg.850,N,-
fig|195.2024.peg.996,H,-
fig|195.2024.peg.539,S,-
fig|195.2024.peg.1551,M,-
fig|195.2024.peg.403,M,-
fig|195.2024.peg.1073,M,-
fig|195.2024.peg.230,M,"GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006487,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0016740,GO:0016772,GO:0016780,GO:0018193,GO:0018196,GO:0018279,GO:0019538,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0070085,GO:0071704,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576"
fig|195.2024.peg.1291,H,-
fig|195.2024.peg.1092,J,-
fig|195.2024.peg.274,O,-
fig|195.2024.peg.1296,J,-
fig|195.2024.peg.382,U,-
fig|195.2024.peg.1680,S,-
fig|195.2024.peg.576,E,-
fig|195.2024.peg.592,C,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
fig|195.2024.peg.654,M,-
fig|195.2024.peg.1084,J,-
fig|195.2024.peg.1600,NT,-
fig|195.2024.peg.485,S,-
fig|195.2024.peg.859,-,-
fig|195.2024.peg.475,S,-
fig|195.2024.peg.1587,S,-
fig|195.2024.peg.1696,K,-
fig|195.2024.peg.1650,S,-
fig|195.2024.peg.765,Q,-
fig|195.2024.peg.1118,S,-
fig|195.2024.peg.847,C,-
fig|195.2024.peg.349,P,-
fig|195.2024.peg.1705,F,-
fig|195.2024.peg.186,H,-
fig|195.2024.peg.1560,E,-
fig|195.2024.peg.146,E,-
fig|195.2024.peg.261,C,-
fig|195.2024.peg.144,H,-
fig|195.2024.peg.778,S,-
fig|195.2024.peg.1040,Q,-
fig|195.2024.peg.965,H,-
fig|195.2024.peg.678,G,-
fig|195.2024.peg.275,K,-
fig|195.2024.peg.842,J,-
fig|195.2024.peg.1231,S,-
fig|195.2024.peg.478,L,-
fig|195.2024.peg.1509,C,"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0003824,GO:0003994,GO:0005488,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006629,GO:0006631,GO:0008150,GO:0008152,GO:0009056,GO:0009060,GO:0009062,GO:0009987,GO:0015980,GO:0016042,GO:0016054,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017001,GO:0017144,GO:0019541,GO:0019543,GO:0019626,GO:0019629,GO:0019752,GO:0032787,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0045333,GO:0046395,GO:0046459,GO:0047456,GO:0048037,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071704,GO:0072329,GO:0072350,GO:0097159,GO:1901363,GO:1901575"
fig|195.2024.peg.1362,EGP,-
fig|195.2024.peg.714,J,-
fig|195.2024.peg.487,U,-
fig|195.2024.peg.784,E,-
fig|195.2024.peg.1625,F,-
fig|195.2024.peg.1289,F,-
fig|195.2024.peg.166,C,-
fig|195.2024.peg.127,M,-
fig|195.2024.peg.102,F,-
fig|195.2024.peg.904,Q,-
fig|195.2024.peg.1316,C,-
fig|195.2024.peg.573,P,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0042802,GO:0044424,GO:0044464"
fig|195.2024.peg.416,I,-
fig|195.2024.peg.1585,E,-
fig|195.2024.peg.503,J,-
fig|195.2024.peg.409,P,-
fig|195.2024.peg.779,C,"GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016999,GO:0017001,GO:0017144,GO:0042737,GO:0042743,GO:0042744,GO:0044237,GO:0044248,GO:0051186,GO:0051187,GO:0072593"
fig|195.2024.peg.1059,D,-
fig|195.2024.peg.315,CO,-
fig|195.2024.peg.1385,E,-
fig|195.2024.peg.733,M,-
fig|195.2024.peg.1209,P,-
fig|195.2024.peg.1153,U,-
fig|195.2024.peg.341,S,-
fig|195.2024.peg.975,I,-
fig|195.2024.peg.1495,EGP,-
fig|195.2024.peg.226,KT,-
fig|195.2024.peg.603,D,-
fig|195.2024.peg.95,S,-
fig|195.2024.peg.888,S,-
fig|195.2024.peg.562,O,-
fig|195.2024.peg.1229,S,-
fig|195.2024.peg.1497,S,-
fig|195.2024.peg.600,F,-
fig|195.2024.peg.1401,EGP,-
fig|195.2024.peg.1573,P,-
fig|195.2024.peg.381,M,-
fig|195.2024.peg.811,G,-
fig|195.2024.peg.871,L,-
fig|195.2024.peg.1357,E,-
fig|195.2024.peg.37,E,-
fig|195.2024.peg.1563,S,-
fig|195.2024.peg.286,M,-
fig|195.2024.peg.990,J,-
fig|195.2024.peg.1486,P,-
fig|195.2024.peg.1212,E,-
fig|195.2024.peg.593,C,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
fig|195.2024.peg.65,H,-
fig|195.2024.peg.1477,C,-
fig|195.2024.peg.313,S,-
fig|195.2024.peg.1310,E,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
fig|195.2024.peg.1626,S,-
fig|195.2024.peg.35,P,-
fig|195.2024.peg.668,S,-
fig|195.2024.peg.697,P,-
fig|195.2024.peg.212,J,-
fig|195.2024.peg.482,J,-
fig|195.2024.peg.307,-,-
fig|195.2024.peg.1235,E,-
fig|195.2024.peg.168,I,-
fig|195.2024.peg.1533,M,-
fig|195.2024.peg.764,M,-
fig|195.2024.peg.602,D,-
fig|195.2024.peg.80,S,-
fig|195.2024.peg.1467,E,-
fig|195.2024.peg.900,C,-
fig|195.2024.peg.1448,P,-
fig|195.2024.peg.1445,E,-
fig|195.2024.peg.1093,J,-
fig|195.2024.peg.557,K,-
fig|195.2024.peg.581,S,-
fig|195.2024.peg.1709,P,-
fig|195.2024.peg.1325,-,-
fig|195.2024.peg.197,U,-
fig|195.2024.peg.1390,T,-
fig|195.2024.peg.1666,S,-
fig|195.2024.peg.677,H,-
fig|195.2024.peg.1648,S,-
fig|195.2024.peg.1660,-,-
fig|195.2024.peg.183,-,-
fig|195.2024.peg.629,S,-
fig|195.2024.peg.711,H,-
fig|195.2024.peg.1087,J,-
fig|195.2024.peg.402,F,-
fig|195.2024.peg.61,S,-
fig|195.2024.peg.1294,S,-
fig|195.2024.peg.835,GM,-
fig|195.2024.peg.1492,H,-
fig|195.2024.peg.613,V,-
fig|195.2024.peg.1116,-,-
fig|195.2024.peg.1668,P,-
fig|195.2024.peg.856,S,-
fig|195.2024.peg.743,K,-
fig|195.2024.peg.1263,K,-
fig|195.2024.peg.1284,O,-
fig|195.2024.peg.1328,-,-
fig|195.2024.peg.872,P,-
fig|195.2024.peg.1700,U,-
fig|195.2024.peg.700,L,-
fig|195.2024.peg.861,NU,-
fig|195.2024.peg.1493,S,-
fig|195.2024.peg.472,-,-
fig|195.2024.peg.1020,J,-
fig|195.2024.peg.1671,N,-
fig|195.2024.peg.408,P,-
fig|195.2024.peg.559,S,-
fig|195.2024.peg.469,P,-
fig|195.2024.peg.14,O,-
fig|195.2024.peg.419,E,-
fig|195.2024.peg.1712,L,-
fig|195.2024.peg.1223,E,-
fig|195.2024.peg.1616,J,-
fig|195.2024.peg.674,J,-
fig|195.2024.peg.1471,K,-
fig|195.2024.peg.176,J,-
fig|195.2024.peg.178,M,-
fig|195.2024.peg.1713,-,-
fig|195.2024.peg.1137,S,-
fig|195.2024.peg.474,J,-
fig|195.2024.peg.830,M,-
fig|195.2024.peg.251,M,-
fig|195.2024.peg.1129,L,-
fig|195.2024.peg.1238,J,-
fig|195.2024.peg.845,J,-
fig|195.2024.peg.1192,S,-
fig|195.2024.peg.839,S,-
fig|195.2024.peg.1211,S,-
fig|195.2024.peg.1224,N,-
fig|195.2024.peg.1001,H,-
fig|195.2024.peg.1393,J,-
fig|195.2024.peg.142,H,-
fig|195.2024.peg.1340,C,-
fig|195.2024.peg.267,P,-
fig|195.2024.peg.1690,-,-
fig|195.2024.peg.511,S,-
fig|195.2024.peg.365,-,-
fig|195.2024.peg.912,-,-
fig|195.2024.peg.1159,S,-
fig|195.2024.peg.1136,C,-
fig|195.2024.peg.881,T,-
fig|195.2024.peg.216,S,-
fig|195.2024.peg.1527,ET,-
fig|195.2024.peg.1562,P,-
fig|195.2024.peg.1595,M,-
fig|195.2024.peg.1457,CO,-
fig|195.2024.peg.101,S,-
fig|195.2024.peg.401,U,-
fig|195.2024.peg.1432,L,-
fig|195.2024.peg.767,F,-
fig|195.2024.peg.5,N,-
fig|195.2024.peg.378,EGP,-
fig|195.2024.peg.1314,-,-
fig|195.2024.peg.1345,C,-
fig|195.2024.peg.672,J,-
fig|195.2024.peg.544,L,-
fig|195.2024.peg.638,M,-
fig|195.2024.peg.1183,E,-
fig|195.2024.peg.1007,L,-
fig|195.2024.peg.1252,S,-
fig|195.2024.peg.927,P,-
fig|195.2024.peg.1242,O,-
fig|195.2024.peg.657,M,-
fig|195.2024.peg.651,F,-
fig|195.2024.peg.586,O,-
fig|195.2024.peg.1259,N,-
fig|195.2024.peg.483,J,-
fig|195.2024.peg.321,M,-
fig|195.2024.peg.902,S,-
fig|195.2024.peg.63,J,-
fig|195.2024.peg.538,D,-
fig|195.2024.peg.742,-,-
fig|195.2024.peg.371,F,-
fig|195.2024.peg.1281,S,-
fig|195.2024.peg.1541,S,-
fig|195.2024.peg.242,M,-
fig|195.2024.peg.1244,N,-
fig|195.2024.peg.1270,H,-
fig|195.2024.peg.122,-,-
fig|195.2024.peg.634,C,-
fig|195.2024.peg.694,J,-
fig|195.2024.peg.1236,I,-
fig|195.2024.peg.1411,E,-
fig|195.2024.peg.85,S,-
fig|195.2024.peg.1097,J,-
fig|195.2024.peg.218,O,-
fig|195.2024.peg.866,J,-
fig|195.2024.peg.1539,IQ,-
fig|195.2024.peg.753,F,-
fig|195.2024.peg.1720,S,-
fig|195.2024.peg.1280,C,-
fig|195.2024.peg.522,L,-
fig|195.2024.peg.258,F,-
fig|195.2024.peg.100,E,-
fig|195.2024.peg.745,M,-
fig|195.2024.peg.1530,-,-
fig|195.2024.peg.1702,J,-
fig|195.2024.peg.530,O,-
fig|195.2024.peg.1139,S,-
fig|195.2024.peg.509,I,-
fig|195.2024.peg.29,E,-
fig|195.2024.peg.1305,-,-
fig|195.2024.peg.1388,D,-
fig|195.2024.peg.702,H,-
fig|195.2024.peg.1175,S,-
fig|195.2024.peg.630,C,-
fig|195.2024.peg.1612,M,-
fig|195.2024.peg.588,T,-
fig|195.2024.peg.1682,V,-
fig|195.2024.peg.317,S,-
fig|195.2024.peg.1023,K,-
fig|195.2024.peg.266,P,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
fig|195.2024.peg.1575,P,-
fig|195.2024.peg.357,H,-
fig|195.2024.peg.1095,J,-
fig|195.2024.peg.1088,J,-
fig|195.2024.peg.1049,U,-
fig|195.2024.peg.1203,H,-
fig|195.2024.peg.931,EG,-
fig|195.2024.peg.580,E,-
fig|195.2024.peg.277,U,-
fig|195.2024.peg.1627,F,-
fig|195.2024.peg.689,J,-
fig|195.2024.peg.1206,P,-
fig|195.2024.peg.499,N,-
fig|195.2024.peg.1024,F,-
fig|195.2024.peg.25,E,-
fig|195.2024.peg.994,H,-
fig|195.2024.peg.669,S,-
fig|195.2024.peg.898,C,-
fig|195.2024.peg.858,NU,-
fig|195.2024.peg.1320,S,-
fig|195.2024.peg.489,M,-
fig|195.2024.peg.1293,EG,-
fig|195.2024.peg.679,IQ,-
fig|195.2024.peg.1617,L,-
fig|195.2024.peg.332,P,-
fig|195.2024.peg.1162,E,-
fig|195.2024.peg.691,K,-
fig|195.2024.peg.120,E,-
fig|195.2024.peg.1082,U,-
fig|195.2024.peg.486,J,-
fig|195.2024.peg.636,C,-
fig|195.2024.peg.1437,M,-
fig|195.2024.peg.414,O,-
fig|195.2024.peg.1465,S,-
fig|195.2024.peg.1338,N,-
fig|195.2024.peg.541,M,-
fig|195.2024.peg.932,S,-
fig|195.2024.peg.427,I,-
fig|195.2024.peg.77,EGP,-
fig|195.2024.peg.1276,C,-
fig|195.2024.peg.8,K,-
fig|195.2024.peg.1262,C,-
fig|195.2024.peg.933,EGP,-
fig|195.2024.peg.1030,G,-
fig|195.2024.peg.915,E,-
fig|195.2024.peg.447,E,-
fig|195.2024.peg.914,F,-
fig|195.2024.peg.194,S,-
fig|195.2024.peg.75,L,-
fig|195.2024.peg.284,J,-
fig|195.2024.peg.989,P,-
fig|195.2024.peg.1029,M,-
fig|195.2024.peg.1520,H,-
fig|195.2024.peg.54,ET,"GO:0005575,GO:0005623,GO:0009986,GO:0044464"
fig|195.2024.peg.38,J,-
fig|195.2024.peg.893,O,-
fig|195.2024.peg.715,S,-
fig|195.2024.peg.758,C,-
fig|195.2024.peg.529,J,-
fig|195.2024.peg.548,J,-
fig|195.2024.peg.1469,M,-
fig|195.2024.peg.751,C,-
fig|195.2024.peg.728,IQ,-
fig|195.2024.peg.690,J,-
fig|195.2024.peg.873,-,-
fig|195.2024.peg.761,H,-
fig|195.2024.peg.744,H,-
fig|195.2024.peg.1508,H,-
fig|195.2024.peg.1341,CP,-
fig|195.2024.peg.727,I,-
fig|195.2024.peg.950,EGP,-
fig|195.2024.peg.512,Q,-
fig|195.2024.peg.771,O,-
fig|195.2024.peg.1632,M,-
fig|195.2024.peg.1181,J,-
fig|195.2024.peg.1655,F,-
fig|195.2024.peg.1130,L,-
fig|195.2024.peg.1313,E,"GO:0000166,GO:0003674,GO:0003824,GO:0004764,GO:0005488,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019632,GO:0019752,GO:0032787,GO:0036094,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046417,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901576,GO:1901615"
fig|195.2024.peg.1258,-,-
fig|195.2024.peg.1435,M,-
fig|195.2024.peg.477,S,-
fig|195.2024.peg.1089,J,-
fig|195.2024.peg.1318,C,-
fig|195.2024.peg.164,S,-
fig|195.2024.peg.995,H,-
fig|195.2024.peg.167,C,-
fig|195.2024.peg.923,P,-
fig|195.2024.peg.1331,-,-
fig|195.2024.peg.498,N,-
fig|195.2024.peg.515,G,-
fig|195.2024.peg.706,J,-
fig|195.2024.peg.1439,G,-
fig|195.2024.peg.90,O,-
fig|195.2024.peg.1261,FP,-
fig|195.2024.peg.200,IQ,-
fig|195.2024.peg.1444,S,-
fig|195.2024.peg.1329,-,-
fig|195.2024.peg.134,I,-
fig|195.2024.peg.1034,-,-
fig|195.2024.peg.1597,L,-
fig|195.2024.peg.56,NT,-
fig|195.2024.peg.1414,S,-
fig|195.2024.peg.471,H,-
fig|195.2024.peg.1025,O,-
fig|195.2024.peg.890,E,-
fig|195.2024.peg.350,-,-
fig|195.2024.peg.1397,P,-
fig|195.2024.peg.325,S,-
fig|195.2024.peg.942,S,-
fig|195.2024.peg.231,M,"GO:0003674,GO:0003824,GO:0006464,GO:0006486,GO:0006487,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0016740,GO:0016757,GO:0016758,GO:0018193,GO:0018196,GO:0018279,GO:0019538,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0070085,GO:0071704,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576"
fig|195.2024.peg.11,-,-
fig|195.2024.peg.937,S,-
fig|195.2024.peg.223,I,-
fig|195.2024.peg.278,J,-
fig|195.2024.peg.1101,J,-
fig|195.2024.peg.1630,S,-
fig|195.2024.peg.688,J,-
fig|195.2024.peg.1412,E,-
fig|195.2024.peg.425,E,-
fig|195.2024.peg.209,-,-
fig|195.2024.peg.565,O,-
fig|195.2024.peg.1540,E,-
fig|195.2024.peg.854,N,-
fig|195.2024.peg.1239,S,-
fig|195.2024.peg.377,S,-
fig|195.2024.peg.1422,U,-
fig|195.2024.peg.639,S,-
fig|195.2024.peg.666,FG,-
fig|195.2024.peg.1204,H,-
fig|195.2024.peg.951,S,-
fig|195.2024.peg.962,J,-
fig|195.2024.peg.1100,J,-
fig|195.2024.peg.1518,S,-
fig|195.2024.peg.426,Q,-
fig|195.2024.peg.1476,C,-
fig|195.2024.peg.1384,E,-
fig|195.2024.peg.1269,S,-
fig|195.2024.peg.558,L,-
fig|195.2024.peg.364,L,"GO:0003674,GO:0005488,GO:0005515,GO:0042802"
fig|195.2024.peg.211,J,-
fig|195.2024.peg.1266,C,-
fig|195.2024.peg.569,P,-
fig|195.2024.peg.1552,I,-
fig|195.2024.peg.1167,M,-
fig|195.2024.peg.1076,P,-
fig|195.2024.peg.1257,E,-
fig|195.2024.peg.508,N,-
fig|195.2024.peg.213,F,-
fig|195.2024.peg.31,J,-
fig|195.2024.peg.429,E,-
fig|195.2024.peg.944,S,-
fig|195.2024.peg.334,U,-
fig|195.2024.peg.1631,P,-
fig|195.2024.peg.466,P,-
fig|195.2024.peg.1499,S,-
fig|195.2024.peg.1535,M,-
fig|195.2024.peg.1177,EG,-
fig|195.2024.peg.1158,NT,-
fig|195.2024.peg.844,-,-
fig|195.2024.peg.1543,V,-
fig|195.2024.peg.1332,-,-
fig|195.2024.peg.664,P,-
fig|195.2024.peg.363,-,-
fig|195.2024.peg.667,E,-
fig|195.2024.peg.647,O,-
fig|195.2024.peg.372,S,-
fig|195.2024.peg.118,S,-
fig|195.2024.peg.137,P,-
fig|195.2024.peg.476,N,-
fig|195.2024.peg.179,N,-
fig|195.2024.peg.519,NU,-
fig|195.2024.peg.1441,Q,-
fig|195.2024.peg.554,LU,-
fig|195.2024.peg.1371,-,-
fig|195.2024.peg.1145,S,-
fig|195.2024.peg.718,P,-
fig|195.2024.peg.327,O,-
fig|195.2024.peg.386,F,-
fig|195.2024.peg.1642,H,-
fig|195.2024.peg.1295,F,-
fig|195.2024.peg.532,S,-
fig|195.2024.peg.708,-,-
fig|195.2024.peg.117,C,-
fig|195.2024.peg.928,E,-
fig|195.2024.peg.1656,E,-
fig|195.2024.peg.1075,-,-
fig|195.2024.peg.33,S,-
fig|195.2024.peg.972,T,-
fig|195.2024.peg.340,U,-
fig|195.2024.peg.1160,S,-
fig|195.2024.peg.1590,O,-
fig|195.2024.peg.1286,C,-
fig|195.2024.peg.1010,S,-
fig|195.2024.peg.1232,S,-
fig|195.2024.peg.1483,HJ,-
fig|195.2024.peg.1155,F,-
fig|195.2024.peg.23,T,-
fig|195.2024.peg.774,C,-
fig|195.2024.peg.551,O,-
fig|195.2024.peg.1148,-,-
fig|195.2024.peg.283,V,-
fig|195.2024.peg.227,GM,-
fig|195.2024.peg.1583,H,-
fig|195.2024.peg.1292,M,-
fig|195.2024.peg.513,Q,-
fig|195.2024.peg.36,E,-
fig|195.2024.peg.1591,K,-
