cluster,gene_representative
Cluster 204,195.2039.peg.1503
Cluster 205,195.2071.peg.1839
Cluster 206,195.2024.peg.232
Cluster 207,195.2087.peg.1729
Cluster 208,195.2122.peg.666
Cluster 209,195.2203.peg.737
Cluster 210,195.2107.peg.1687
Cluster 211,195.2308.peg.1784
Cluster 212,195.2252.peg.943
Cluster 213,195.2028.peg.1252
Cluster 214,195.2029.peg.728
Cluster 215,195.2089.peg.781
Cluster 216,195.2024.peg.266
Cluster 217,195.2138.peg.1776
Cluster 218,195.2311.peg.1844
Cluster 219,195.2024.peg.217
Cluster 220,195.2025.peg.1044
Cluster 221,195.2255.peg.1003
Cluster 222,195.2024.peg.938
Cluster 223,195.2113.peg.359
Cluster 224,195.2024.peg.50
Cluster 225,195.2039.peg.825
Cluster 226,195.2120.peg.502
Cluster 227,195.2148.peg.1618
Cluster 228,195.2120.peg.465
Cluster 229,195.2212.peg.1372
Cluster 230,195.2221.peg.356
Cluster 231,195.2024.peg.1080
Cluster 232,195.2034.peg.1233
Cluster 233,195.2058.peg.1764
Cluster 234,195.2117.peg.1581
Cluster 235,195.2132.peg.1669
Cluster 236,195.2024.peg.1593
Cluster 237,195.2024.peg.753
Cluster 238,195.2024.peg.672
Cluster 239,195.2029.peg.1578
Cluster 240,195.2080.peg.173
Cluster 241,195.2280.peg.667
Cluster 242,195.2287.peg.1584
Cluster 243,195.2024.peg.1451
Cluster 244,195.2153.peg.223
Cluster 245,195.2024.peg.718
Cluster 246,195.2026.peg.713
Cluster 247,195.2239.peg.205
Cluster 248,195.2024.peg.210
Cluster 249,195.2244.peg.1849
Cluster 250,195.2024.peg.373
Cluster 251,195.2030.peg.699
Cluster 252,195.2150.peg.1212
Cluster 253,195.2151.peg.214
Cluster 254,195.2156.peg.468
Cluster 255,195.2198.peg.1
Cluster 256,195.2024.peg.1104
Cluster 257,195.2082.peg.151
Cluster 258,195.2113.peg.355
Cluster 259,195.2044.peg.871
Cluster 260,195.2056.peg.1663
Cluster 261,195.2063.peg.944
Cluster 262,195.2069.peg.215
Cluster 263,195.2170.peg.1347
Cluster 264,195.2202.peg.99
Cluster 265,195.2054.peg.818
Cluster 266,195.2034.peg.746
Cluster 267,195.2056.peg.1791
Cluster 268,195.2220.peg.1871
Cluster 269,195.2121.peg.841
Cluster 270,195.2122.peg.440
Cluster 271,195.2069.peg.798
Cluster 272,195.2024.peg.352
Cluster 273,195.2038.peg.1168
Cluster 274,195.2276.peg.1471
Cluster 275,195.2024.peg.1317
Cluster 276,195.2104.peg.1695
Cluster 277,195.2138.peg.934
Cluster 278,195.2293.peg.1862
Cluster 279,195.2311.peg.1807
Cluster 280,195.2024.peg.1012
Cluster 281,195.2051.peg.1700
Cluster 282,195.2058.peg.414
Cluster 283,195.2024.peg.522
Cluster 284,195.2024.peg.922
Cluster 285,195.2045.peg.653
Cluster 286,195.2024.peg.595
Cluster 287,195.2032.peg.1485
Cluster 288,195.2080.peg.409
Cluster 289,195.2085.peg.77
Cluster 290,195.2033.peg.1751
Cluster 291,195.2061.peg.1670
Cluster 292,195.2034.peg.656
Cluster 293,195.2036.peg.453
Cluster 294,195.2056.peg.1223
Cluster 295,195.2207.peg.1378
Cluster 296,195.2244.peg.827
Cluster 297,195.2069.peg.1782
Cluster 298,195.2024.peg.224
Cluster 299,195.2024.peg.393
Cluster 300,195.2045.peg.100
Cluster 301,195.2233.peg.1626
Cluster 302,195.2024.peg.557
Cluster 303,195.2056.peg.54
Cluster 304,195.2317.peg.1191
Cluster 305,195.2024.peg.657
Cluster 306,195.2024.peg.22
Cluster 307,195.2179.peg.334
Cluster 308,195.2179.peg.664
Cluster 309,195.2233.peg.1841
Cluster 310,195.2198.peg.1798
Cluster 311,195.2024.peg.578
Cluster 312,195.2150.peg.1801
Cluster 313,195.2065.peg.1158
Cluster 314,195.2027.peg.1181
Cluster 315,195.2042.peg.408
Cluster 316,195.2087.peg.1389
Cluster 317,195.2120.peg.1729
Cluster 318,195.2163.peg.1733
Cluster 319,195.2058.peg.1063
Cluster 320,195.2065.peg.1311
Cluster 321,195.2217.peg.1042
Cluster 322,195.2247.peg.1610
Cluster 323,195.2024.peg.1172
Cluster 324,195.2056.peg.1792
Cluster 325,195.2192.peg.1818
Cluster 326,195.2216.peg.1621
Cluster 327,195.2244.peg.1422
Cluster 328,195.2221.peg.357
Cluster 329,195.2024.peg.1439
Cluster 330,195.2034.peg.657
Cluster 331,195.2055.peg.1670
Cluster 332,195.2133.peg.1899
Cluster 333,195.2053.peg.1712
Cluster 334,195.2118.peg.334
Cluster 335,195.2120.peg.1949
Cluster 336,195.2130.peg.12
Cluster 337,195.2027.peg.954
Cluster 338,195.2060.peg.1541
Cluster 339,195.2244.peg.910
Cluster 340,195.2024.peg.1506
Cluster 341,195.2034.peg.1466
Cluster 342,195.2244.peg.1395
Cluster 343,195.2024.peg.1632
Cluster 344,195.2244.peg.1277
Cluster 345,195.2024.peg.1227
Cluster 346,195.2283.peg.1735
Cluster 347,195.2051.peg.83
Cluster 348,195.2024.peg.1589
Cluster 349,195.2058.peg.1742
Cluster 350,195.2024.peg.93
Cluster 351,195.2024.peg.1546
Cluster 352,195.2024.peg.291
Cluster 353,195.2034.peg.655
Cluster 354,195.2055.peg.1672
Cluster 355,195.2034.peg.660
Cluster 356,195.2244.peg.1386
Cluster 357,195.2024.peg.788
Cluster 358,195.2226.peg.1129
Cluster 359,195.2024.peg.518
Cluster 360,195.2230.peg.890
Cluster 361,195.2024.peg.1583
Cluster 362,195.2024.peg.594
Cluster 363,195.2024.peg.536
Cluster 364,195.2024.peg.1320
Cluster 365,195.2024.peg.751
Cluster 366,195.2299.peg.1819
Cluster 367,195.2024.peg.647
Cluster 368,195.2042.peg.407
Cluster 369,195.2061.peg.348
Cluster 370,195.2278.peg.1606
Cluster 371,195.2294.peg.595
Cluster 372,195.2024.peg.1432
Cluster 373,195.2024.peg.854
Cluster 374,195.2086.peg.483
Cluster 375,195.2159.peg.789
Cluster 376,195.2039.peg.1712
Cluster 377,195.2144.peg.338
Cluster 378,195.2241.peg.1757
Cluster 379,195.2162.peg.90
Cluster 380,195.2035.peg.1682
Cluster 381,195.2024.peg.700
Cluster 382,195.2024.peg.364
Cluster 383,195.2029.peg.1793
Cluster 384,195.2244.peg.1796
Cluster 385,195.2024.peg.1615
Cluster 386,195.2024.peg.1668
Cluster 387,195.2024.peg.644
Cluster 388,195.2024.peg.1675
Cluster 389,195.2057.peg.211
Cluster 390,195.2024.peg.643
Cluster 391,195.2027.peg.615
Cluster 392,195.2027.peg.1792
Cluster 393,195.2024.peg.772
Cluster 394,195.2244.peg.1775
Cluster 395,195.2024.peg.127
Cluster 396,195.2024.peg.759
Cluster 397,195.2065.peg.610
Cluster 398,195.2138.peg.1019
Cluster 399,195.2024.peg.66
Cluster 400,195.2196.peg.1712
Cluster 401,195.2024.peg.1341
Cluster 402,195.2024.peg.535
Cluster 403,195.2111.peg.340
Cluster 404,195.2030.peg.718
Cluster 405,195.2024.peg.1680
Cluster 406,195.2026.peg.145
Cluster 407,195.2087.peg.14
Cluster 408,195.2097.peg.1075
Cluster 409,195.2024.peg.227
Cluster 410,195.2113.peg.476
Cluster 411,195.2031.peg.952
Cluster 412,195.2156.peg.1704
Cluster 413,195.2026.peg.1202
Cluster 414,195.2069.peg.625
Cluster 415,195.2102.peg.12
Cluster 416,195.2036.peg.816
Cluster 417,195.2026.peg.1161
Cluster 418,195.2029.peg.1620
Cluster 419,195.2034.peg.111
Cluster 420,195.2031.peg.1244
Cluster 421,195.2067.peg.1715
Cluster 422,195.2024.peg.548
Cluster 423,195.2095.peg.979
Cluster 424,195.2136.peg.1148
Cluster 425,195.2179.peg.341
Cluster 426,195.2026.peg.198
Cluster 427,195.2086.peg.407
Cluster 428,195.2210.peg.420
Cluster 429,195.2225.peg.752
Cluster 430,195.2226.peg.1749
Cluster 431,195.2223.peg.703
Cluster 432,195.2024.peg.1543
Cluster 433,195.2270.peg.1107
Cluster 434,195.2024.peg.1512
Cluster 435,195.2033.peg.1851
Cluster 436,195.2313.peg.1815
Cluster 437,195.2086.peg.484
Cluster 438,195.2155.peg.969
Cluster 439,195.2151.peg.215
Cluster 440,195.2166.peg.1162
Cluster 441,195.2220.peg.1362
Cluster 442,195.2244.peg.1710
Cluster 443,195.2279.peg.726
Cluster 444,195.2048.peg.1474
Cluster 445,195.2113.peg.925
Cluster 446,195.2024.peg.592
Cluster 447,195.2024.peg.823
Cluster 448,195.2060.peg.1728
Cluster 449,195.2164.peg.1770
Cluster 450,195.2024.peg.1284
Cluster 451,195.2024.peg.625
Cluster 452,195.2065.peg.810
Cluster 453,195.2092.peg.164
Cluster 454,195.2024.peg.236
Cluster 455,195.2024.peg.405
Cluster 456,195.2024.peg.582
Cluster 457,195.2123.peg.1681
Cluster 458,195.2054.peg.1090
Cluster 459,195.2129.peg.789
Cluster 460,195.2314.peg.1901
Cluster 461,195.2267.peg.1756
Cluster 462,195.2052.peg.9
Cluster 463,195.2113.peg.1441
Cluster 464,195.2128.peg.1500
Cluster 465,195.2151.peg.1134
Cluster 466,195.2152.peg.1747
Cluster 467,195.2286.peg.1891
Cluster 468,195.2039.peg.954
Cluster 469,195.2222.peg.690
Cluster 470,195.2024.peg.1224
Cluster 471,195.2026.peg.756
Cluster 472,195.2151.peg.1430
Cluster 473,195.2024.peg.1144
Cluster 474,195.2024.peg.828
Cluster 475,195.2024.peg.27
Cluster 476,195.2028.peg.18
Cluster 477,195.2024.peg.1476
Cluster 478,195.2026.peg.1514
Cluster 479,195.2030.peg.835
Cluster 480,195.2132.peg.620
Cluster 481,195.2154.peg.393
Cluster 482,195.2193.peg.503
Cluster 483,195.2024.peg.774
Cluster 484,195.2026.peg.1367
Cluster 485,195.2038.peg.916
Cluster 486,195.2153.peg.1681
Cluster 487,195.2027.peg.813
Cluster 488,195.2063.peg.951
Cluster 489,195.2069.peg.1050
Cluster 490,195.2045.peg.1513
Cluster 491,195.2166.peg.1287
Cluster 492,195.2026.peg.1150
Cluster 493,195.2211.peg.50
Cluster 494,195.2024.peg.1137
Cluster 495,195.2024.peg.831
Cluster 496,195.2138.peg.1020
Cluster 497,195.2157.peg.373
Cluster 498,195.2027.peg.1788
Cluster 499,195.2067.peg.615
Cluster 500,195.2141.peg.222
Cluster 501,195.2171.peg.978
Cluster 502,195.2024.peg.1671
Cluster 503,195.2024.peg.327
Cluster 504,195.2034.peg.748
Cluster 505,195.2024.peg.1155
Cluster 506,195.2027.peg.807
Cluster 507,195.2045.peg.1168
Cluster 508,195.2065.peg.1616
Cluster 509,195.2024.peg.1502
Cluster 510,195.2203.peg.1511
Cluster 511,195.2280.peg.1701
Cluster 512,195.2295.peg.1695
Cluster 513,195.2308.peg.345
Cluster 514,195.2157.peg.939
Cluster 515,195.2024.peg.349
Cluster 516,195.2033.peg.1899
Cluster 517,195.2114.peg.1362
Cluster 518,195.2244.peg.1794
Cluster 519,195.2024.peg.983
Cluster 520,195.2026.peg.980
Cluster 521,195.2029.peg.136
Cluster 522,195.2299.peg.1559
Cluster 523,195.2039.peg.963
Cluster 524,195.2061.peg.267
Cluster 525,195.2204.peg.284
Cluster 526,195.2270.peg.1832
Cluster 527,195.2065.peg.1778
Cluster 528,195.2024.peg.97
Cluster 529,195.2174.peg.615
Cluster 530,195.2192.peg.973
Cluster 531,195.2024.peg.1700
Cluster 532,195.2026.peg.1253
Cluster 533,195.2030.peg.707
Cluster 534,195.2244.peg.264
Cluster 535,195.2024.peg.278
Cluster 536,195.2024.peg.1706
Cluster 537,195.2024.peg.1254
Cluster 538,195.2042.peg.274
Cluster 539,195.2060.peg.1466
Cluster 540,195.2146.peg.1761
Cluster 541,195.2314.peg.1912
Cluster 542,195.2024.peg.25
Cluster 543,195.2024.peg.197
Cluster 544,195.2285.peg.1754
Cluster 545,195.2294.peg.1519
Cluster 546,195.2024.peg.1330
Cluster 547,195.2024.peg.65
Cluster 548,195.2024.peg.1156
Cluster 549,195.2033.peg.1769
Cluster 550,195.2144.peg.1852
Cluster 551,195.2027.peg.1540
Cluster 552,195.2060.peg.510
Cluster 553,195.2094.peg.1371
Cluster 554,195.2144.peg.1790
Cluster 555,195.2086.peg.400
Cluster 556,195.2098.peg.1841
Cluster 557,195.2024.peg.858
Cluster 558,195.2024.peg.426
Cluster 559,195.2024.peg.1474
Cluster 560,195.2150.peg.642
Cluster 561,195.2166.peg.691
Cluster 562,195.2144.peg.1792
Cluster 563,195.2286.peg.1704
Cluster 564,195.2024.peg.265
Cluster 565,195.2051.peg.1784
Cluster 566,195.2172.peg.762
Cluster 567,195.2202.peg.709
Cluster 568,195.2039.peg.106
Cluster 569,195.2267.peg.1128
Cluster 570,195.2024.peg.1646
Cluster 571,195.2113.peg.360
Cluster 572,195.2045.peg.1767
Cluster 573,195.2024.peg.904
Cluster 574,195.2025.peg.1657
Cluster 575,195.2024.peg.1357
Cluster 576,195.2026.peg.1379
Cluster 577,195.2294.peg.520
Cluster 578,195.2024.peg.1115
Cluster 579,195.2024.peg.367
Cluster 580,195.2032.peg.1020
Cluster 581,195.2067.peg.1400
Cluster 582,195.2186.peg.1362
Cluster 583,195.2244.peg.1830
Cluster 584,195.2024.peg.1705
Cluster 585,195.2101.peg.1613
Cluster 586,195.2276.peg.1725
Cluster 587,195.2024.peg.298
Cluster 588,195.2092.peg.1188
Cluster 589,195.2201.peg.1310
Cluster 590,195.2024.peg.156
Cluster 591,195.2024.peg.546
Cluster 592,195.2024.peg.911
Cluster 593,195.2067.peg.1775
Cluster 594,195.2172.peg.1033
Cluster 595,195.2306.peg.1791
Cluster 596,195.2024.peg.565
Cluster 597,195.2233.peg.1099
Cluster 598,195.2244.peg.1837
Cluster 599,195.2036.peg.1644
Cluster 600,195.2067.peg.943
Cluster 601,195.2139.peg.1751
Cluster 602,195.2205.peg.1101
Cluster 603,195.2279.peg.1405
Cluster 604,195.2053.peg.1801
Cluster 605,195.2151.peg.1748
Cluster 606,195.2031.peg.1761
Cluster 607,195.2048.peg.625
Cluster 608,195.2024.peg.1309
Cluster 609,195.2047.peg.1801
Cluster 610,195.2148.peg.1830
Cluster 611,195.2230.peg.1099
Cluster 612,195.2024.peg.1054
Cluster 613,195.2024.peg.963
Cluster 614,195.2033.peg.1948
Cluster 615,195.2187.peg.121
Cluster 616,195.2256.peg.834
Cluster 617,195.2024.peg.507
Cluster 618,195.2060.peg.1717
Cluster 619,195.2120.peg.341
Cluster 620,195.2034.peg.730
Cluster 621,195.2064.peg.1596
Cluster 622,195.2080.peg.596
Cluster 623,195.2100.peg.529
Cluster 624,195.2158.peg.861
Cluster 625,195.2144.peg.1829
Cluster 626,195.2244.peg.1387
Cluster 627,195.2247.peg.807
Cluster 628,195.2024.peg.1231
Cluster 629,195.2194.peg.1106
Cluster 630,195.2210.peg.1709
Cluster 631,195.2024.peg.1340
Cluster 632,195.2056.peg.597
Cluster 633,195.2244.peg.1633
Cluster 634,195.2036.peg.712
Cluster 635,195.2038.peg.1349
Cluster 636,195.2042.peg.1102
Cluster 637,195.2067.peg.1214
Cluster 638,195.2024.peg.37
Cluster 639,195.2120.peg.468
Cluster 640,195.2024.peg.890
Cluster 641,195.2024.peg.1272
Cluster 642,195.2024.peg.732
Cluster 643,195.2122.peg.1818
Cluster 644,195.2054.peg.1329
Cluster 645,195.2254.peg.1899
Cluster 646,195.2111.peg.1673
Cluster 647,195.2144.peg.1957
Cluster 648,195.2024.peg.879
Cluster 649,195.2144.peg.1842
Cluster 650,195.2145.peg.408
Cluster 651,195.2034.peg.80
Cluster 652,195.2024.peg.1261
Cluster 653,195.2024.peg.370
Cluster 654,195.2092.peg.582
Cluster 655,195.2136.peg.1774
Cluster 656,195.2024.peg.382
Cluster 657,195.2024.peg.1175
Cluster 658,195.2039.peg.98
Cluster 659,195.2056.peg.1684
Cluster 660,195.2061.peg.273
Cluster 661,195.2162.peg.1051
Cluster 662,195.2172.peg.1308
Cluster 663,195.2244.peg.1708
Cluster 664,195.2024.peg.62
Cluster 665,195.2024.peg.1545
Cluster 666,195.2080.peg.393
Cluster 667,195.2232.peg.703
Cluster 668,195.2024.peg.1141
Cluster 669,195.2026.peg.716
Cluster 670,195.2138.peg.1011
Cluster 671,195.2024.peg.134
Cluster 672,195.2024.peg.1300
Cluster 673,195.2064.peg.959
Cluster 674,195.2114.peg.627
Cluster 675,195.2120.peg.335
Cluster 676,195.2192.peg.975
Cluster 677,195.2254.peg.1216
Cluster 678,195.2024.peg.675
Cluster 679,195.2024.peg.1478
Cluster 680,195.2095.peg.218
Cluster 681,195.2240.peg.1654
Cluster 682,195.2223.peg.1182
Cluster 683,195.2024.peg.1658
Cluster 684,195.2024.peg.497
Cluster 685,195.2026.peg.1786
Cluster 686,195.2111.peg.356
Cluster 687,195.2130.peg.55
Cluster 688,195.2024.peg.1551
Cluster 689,195.2027.peg.1794
Cluster 690,195.2053.peg.1831
Cluster 691,195.2148.peg.16
Cluster 692,195.2166.peg.1803
Cluster 693,195.2224.peg.1437
Cluster 694,195.2286.peg.1816
Cluster 695,195.2024.peg.779
Cluster 696,195.2024.peg.523
Cluster 697,195.2024.peg.824
Cluster 698,195.2171.peg.1747
Cluster 699,195.2198.peg.1293
Cluster 700,195.2029.peg.1786
Cluster 701,195.2063.peg.1933
Cluster 702,195.2065.peg.1000
Cluster 703,195.2312.peg.379
Cluster 704,195.2024.peg.346
Cluster 705,195.2024.peg.301
Cluster 706,195.2027.peg.1172
Cluster 707,195.2157.peg.758
Cluster 708,195.2171.peg.1728
Cluster 709,195.2210.peg.413
Cluster 710,195.2291.peg.1288
Cluster 711,195.2082.peg.1734
Cluster 712,195.2210.peg.414
Cluster 713,195.2024.peg.1534
Cluster 714,195.2141.peg.60
Cluster 715,195.2286.peg.1879
Cluster 716,195.2024.peg.1467
Cluster 717,195.2024.peg.830
Cluster 718,195.2024.peg.1113
Cluster 719,195.2026.peg.138
Cluster 720,195.2035.peg.1680
Cluster 721,195.2024.peg.511
Cluster 722,195.2024.peg.193
Cluster 723,195.2024.peg.1453
Cluster 724,195.2141.peg.223
Cluster 725,195.2276.peg.1011
Cluster 726,195.2024.peg.101
Cluster 727,195.2027.peg.1791
Cluster 728,195.2024.peg.1052
Cluster 729,195.2030.peg.706
Cluster 730,195.2113.peg.506
Cluster 731,195.2119.peg.1771
Cluster 732,195.2244.peg.1704
Cluster 733,195.2024.peg.739
Cluster 734,195.2314.peg.362
Cluster 735,195.2024.peg.758
Cluster 736,195.2024.peg.413
Cluster 737,195.2040.peg.1529
Cluster 738,195.2069.peg.1677
Cluster 739,195.2070.peg.1277
Cluster 740,195.2295.peg.1437
Cluster 741,195.2024.peg.1624
Cluster 742,195.2029.peg.1777
Cluster 743,195.2033.peg.862
Cluster 744,195.2065.peg.1761
Cluster 745,195.2069.peg.1781
Cluster 746,195.2098.peg.1200
Cluster 747,195.2121.peg.151
Cluster 748,195.2190.peg.714
Cluster 749,195.2024.peg.1153
Cluster 750,195.2024.peg.258
Cluster 751,195.2024.peg.64
Cluster 752,195.2080.peg.1022
Cluster 753,195.2179.peg.1418
Cluster 754,195.2024.peg.319
Cluster 755,195.2024.peg.1294
Cluster 756,195.2024.peg.1544
Cluster 757,195.2024.peg.501
Cluster 758,195.2034.peg.388
Cluster 759,195.2027.peg.1682
Cluster 760,195.2170.peg.1719
Cluster 761,195.2197.peg.1414
Cluster 762,195.2024.peg.1276
Cluster 763,195.2024.peg.296
Cluster 764,195.2024.peg.574
Cluster 765,195.2034.peg.747
Cluster 766,195.2042.peg.402
Cluster 767,195.2129.peg.619
Cluster 768,195.2024.peg.1339
Cluster 769,195.2024.peg.611
Cluster 770,195.2024.peg.1027
Cluster 771,195.2026.peg.1714
Cluster 772,195.2027.peg.1430
Cluster 773,195.2107.peg.1757
Cluster 774,195.2233.peg.1809
Cluster 775,195.2024.peg.965
Cluster 776,195.2024.peg.801
Cluster 777,195.2028.peg.19
Cluster 778,195.2047.peg.1715
Cluster 779,195.2233.peg.1847
Cluster 780,195.2024.peg.161
Cluster 781,195.2024.peg.785
Cluster 782,195.2027.peg.962
Cluster 783,195.2030.peg.704
Cluster 784,195.2063.peg.1423
Cluster 785,195.2101.peg.674
Cluster 786,195.2144.peg.1664
Cluster 787,195.2307.peg.1331
Cluster 788,195.2024.peg.577
Cluster 789,195.2024.peg.861
Cluster 790,195.2024.peg.1411
Cluster 791,195.2024.peg.1711
Cluster 792,195.2024.peg.797
Cluster 793,195.2048.peg.1305
Cluster 794,195.2080.peg.1462
Cluster 795,195.2244.peg.980
Cluster 796,195.2024.peg.973
